               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11495,              0.1072,            0.055899,           0.0055408,            0.041667,           0.0030939,           0.0007134,            0.099668,             0.13509,            0.054597,              0.0013,              0.0013,              0.0883
                   1,            0.092222,             0.13352,            0.051365,            0.074301,             0.16389,            0.051897,            0.011063,            0.080458,             0.18699,            0.050056,           0.0026733,           0.0026733,            0.075673
                   2,            0.081996,             0.12932,            0.045362,             0.12413,             0.27917,             0.12313,            0.022384,            0.077686,             0.15009,            0.040353,           0.0040188,           0.0040188,            0.063019
                   3,            0.079355,             0.11643,            0.039331,             0.28002,              0.4837,             0.32679,            0.076248,             0.07314,             0.13267,            0.032253,           0.0053367,           0.0053367,            0.050337
                   4,            0.074274,             0.11308,            0.033876,             0.25033,              0.5256,             0.22065,            0.056238,            0.071311,             0.12366,             0.02863,           0.0066268,           0.0066268,            0.037627
                   5,            0.069061,             0.10739,            0.029633,             0.21973,             0.47222,             0.26641,            0.080345,            0.069672,             0.17535,            0.027234,           0.0078891,           0.0078891,            0.024889
                   6,            0.065642,             0.10438,            0.025911,             0.40938,             0.59206,             0.46315,             0.13141,            0.057836,             0.12369,             0.02065,           0.0091238,           0.0091238,            0.012124
                   7,            0.060585,            0.099242,            0.020426,             0.46992,             0.82947,             0.66728,             0.19105,            0.054124,             0.13127,            0.016061,            0.009307,            0.009307,            0.009307
                   8,            0.053676,            0.099899,            0.015563,             0.58861,             0.76806,             0.69191,             0.30548,            0.057027,             0.11103,            0.012049,            0.009307,            0.009307,            0.009307
                   9,            0.052123,            0.091149,            0.012314,             0.84725,             0.97417,             0.95869,             0.41988,            0.043159,             0.10736,           0.0078099,            0.009208,            0.009208,            0.009208
                  10,            0.048013,            0.091007,            0.010612,             0.81692,             0.92658,             0.94286,             0.52223,            0.038741,             0.10026,           0.0085402,            0.009109,            0.009109,            0.009109
                  11,             0.04822,            0.088273,           0.0097911,             0.94726,             0.95697,             0.98109,             0.57704,            0.034655,            0.094269,           0.0067599,             0.00901,             0.00901,             0.00901
                  12,            0.044473,            0.088196,           0.0091636,             0.98366,             0.97604,             0.99354,             0.60306,            0.033045,            0.099275,           0.0064781,            0.008911,            0.008911,            0.008911
                  13,            0.045552,             0.08575,           0.0085504,             0.98763,             0.98421,             0.99266,             0.61858,            0.032112,            0.096118,           0.0063077,            0.008812,            0.008812,            0.008812
                  14,            0.040622,            0.084645,           0.0079836,             0.98952,             0.99225,             0.99489,             0.56859,            0.034544,            0.091182,           0.0058709,            0.008713,            0.008713,            0.008713
                  15,            0.040435,            0.083429,           0.0078466,             0.99222,              0.9999,             0.99459,             0.64366,            0.031342,            0.087411,           0.0055941,            0.008614,            0.008614,            0.008614
                  16,            0.037956,            0.084259,           0.0074692,             0.97285,              0.9544,             0.98858,             0.66983,            0.030494,            0.094021,           0.0068261,            0.008515,            0.008515,            0.008515
                  17,            0.036799,            0.082988,           0.0072078,             0.96629,             0.91276,              0.9767,             0.61376,            0.034095,            0.094508,           0.0079066,            0.008416,            0.008416,            0.008416
                  18,            0.037056,            0.078809,           0.0069627,             0.96064,             0.99054,             0.99497,             0.69667,            0.027072,            0.084922,            0.005824,            0.008317,            0.008317,            0.008317
                  19,            0.038278,            0.080061,           0.0069702,             0.99658,             0.99999,               0.995,             0.69045,            0.026842,            0.083252,           0.0046528,            0.008218,            0.008218,            0.008218
                  20,            0.035302,            0.082614,           0.0069168,             0.97986,             0.99859,               0.995,             0.69334,            0.027561,            0.091193,           0.0050829,            0.008119,            0.008119,            0.008119
                  21,            0.035564,            0.081513,           0.0066321,             0.99534,                   1,               0.995,              0.7424,            0.024769,            0.080175,           0.0044342,             0.00802,             0.00802,             0.00802
                  22,            0.033933,            0.080346,           0.0064388,             0.99436,                   1,               0.995,             0.73347,            0.025136,            0.082632,           0.0046733,            0.007921,            0.007921,            0.007921
                  23,            0.033959,            0.079007,           0.0063924,             0.99464,              0.9831,             0.99414,             0.75201,            0.024657,            0.082756,           0.0051769,            0.007822,            0.007822,            0.007822
                  24,            0.033396,            0.079274,           0.0063941,             0.99667,             0.99964,               0.995,             0.66041,            0.029581,            0.085386,           0.0049034,            0.007723,            0.007723,            0.007723
                  25,            0.034032,            0.077201,           0.0062887,             0.98807,             0.99444,             0.99452,             0.72535,            0.025936,            0.082574,           0.0044323,            0.007624,            0.007624,            0.007624
                  26,            0.032308,            0.078284,           0.0061656,             0.99679,                   1,               0.995,              0.7394,            0.024234,            0.081429,           0.0043998,            0.007525,            0.007525,            0.007525
                  27,            0.031308,             0.07596,           0.0060115,             0.99648,                   1,               0.995,             0.73347,             0.02475,            0.079027,           0.0042299,            0.007426,            0.007426,            0.007426
                  28,            0.031865,            0.076449,           0.0060982,             0.98959,             0.97951,             0.98759,               0.692,            0.027237,            0.086853,           0.0046707,            0.007327,            0.007327,            0.007327
                  29,            0.032139,            0.076362,           0.0058055,             0.99676,             0.99998,               0.995,             0.77153,            0.022879,            0.078609,           0.0040757,            0.007228,            0.007228,            0.007228
                  30,            0.030889,            0.075918,           0.0058767,             0.99582,                   1,               0.995,              0.7215,            0.025814,             0.07955,           0.0042784,            0.007129,            0.007129,            0.007129
                  31,            0.031035,            0.075466,           0.0058569,             0.99272,             0.99306,             0.99466,               0.776,            0.022549,            0.081939,           0.0040955,             0.00703,             0.00703,             0.00703
                  32,            0.029982,            0.075439,           0.0057945,              0.9925,             0.99907,               0.995,             0.76408,            0.023509,            0.078589,           0.0043062,            0.006931,            0.006931,            0.006931
                  33,            0.030016,            0.075724,           0.0057742,             0.99248,             0.98718,             0.99307,             0.72847,            0.025162,            0.086105,            0.004735,            0.006832,            0.006832,            0.006832
                  34,             0.02957,              0.0751,           0.0055294,             0.99549,                   1,               0.995,             0.76362,            0.022593,             0.07801,           0.0042118,            0.006733,            0.006733,            0.006733
                  35,            0.029854,            0.074917,            0.005612,             0.99652,                   1,               0.995,             0.77168,            0.022183,            0.078192,           0.0040136,            0.006634,            0.006634,            0.006634
                  36,            0.029165,            0.074543,           0.0054362,             0.99231,                   1,             0.99486,             0.76296,            0.023997,            0.076493,           0.0039375,            0.006535,            0.006535,            0.006535
                  37,            0.029186,            0.073759,           0.0054227,             0.99559,                   1,               0.995,             0.76206,            0.023308,            0.077864,           0.0040065,            0.006436,            0.006436,            0.006436
                  38,            0.028972,            0.073114,           0.0055387,             0.99704,             0.99999,               0.995,             0.76589,             0.02241,            0.079241,           0.0039046,            0.006337,            0.006337,            0.006337
                  39,            0.028446,            0.074142,           0.0054677,             0.99712,             0.99998,               0.995,             0.76703,            0.023013,            0.080567,             0.00394,            0.006238,            0.006238,            0.006238
                  40,            0.028407,            0.073495,           0.0055774,             0.99695,                   1,               0.995,             0.79355,            0.020992,            0.077693,           0.0040075,            0.006139,            0.006139,            0.006139
                  41,            0.028634,            0.072081,           0.0053823,             0.99627,                   1,               0.995,             0.78286,            0.021179,            0.077748,           0.0038917,             0.00604,             0.00604,             0.00604
                  42,            0.027755,            0.072947,           0.0052966,             0.98948,             0.99994,               0.995,             0.78728,             0.02153,            0.077524,           0.0038969,            0.005941,            0.005941,            0.005941
                  43,            0.027532,            0.072676,           0.0051771,             0.99713,                   1,               0.995,             0.76906,            0.022102,            0.078548,           0.0038287,            0.005842,            0.005842,            0.005842
                  44,            0.027186,            0.073001,           0.0053604,             0.99715,                   1,               0.995,             0.80551,            0.019998,             0.07609,           0.0037546,            0.005743,            0.005743,            0.005743
                  45,            0.028714,            0.071703,           0.0053174,             0.99705,                   1,               0.995,             0.78217,            0.021848,            0.076368,           0.0037414,            0.005644,            0.005644,            0.005644
                  46,            0.027264,            0.072172,           0.0052724,             0.99644,                   1,               0.995,             0.78714,            0.021191,            0.078248,           0.0038377,            0.005545,            0.005545,            0.005545
                  47,             0.02727,            0.072147,           0.0052811,             0.99622,                   1,               0.995,               0.806,            0.020703,            0.075228,           0.0035983,            0.005446,            0.005446,            0.005446
                  48,            0.026904,            0.073155,           0.0052034,             0.98132,             0.99581,             0.99472,             0.79671,            0.020274,            0.076114,           0.0037217,            0.005347,            0.005347,            0.005347
                  49,            0.026479,            0.072808,            0.005186,             0.99552,                   1,               0.995,             0.80064,            0.020675,            0.076458,           0.0036832,            0.005248,            0.005248,            0.005248
                  50,            0.026587,            0.070737,           0.0050388,             0.99533,             0.99999,               0.995,             0.78827,            0.021265,             0.07578,           0.0036593,            0.005149,            0.005149,            0.005149
                  51,             0.02616,            0.070449,            0.005109,             0.99558,                   1,               0.995,             0.80121,            0.020989,            0.076367,           0.0036931,             0.00505,             0.00505,             0.00505
                  52,            0.026177,            0.071374,           0.0050026,             0.99719,             0.99998,               0.995,             0.80008,            0.020445,            0.074923,           0.0036083,            0.004951,            0.004951,            0.004951
                  53,            0.025686,            0.071107,           0.0049562,             0.99704,                   1,               0.995,             0.81483,            0.019585,            0.074596,            0.003498,            0.004852,            0.004852,            0.004852
